2MASS_ID name ra dec l b J H Ks
01552443+4106144 TriAnd5 28.852 41.104 135.70975 -20.175032 11.43 10.58 10.38
02354004+3629079 TriAnd3 38.917 36.486 145.29233 -21.819560 11.38 10.51 10.31
07012973+6526355 A13-20 105.374 65.443 145.29233 25.529054 11.18 10.36 10.18
07031762+6210186 A13-21 105.823 62.172 153.92630 25.133876 11.00 10.21 10.01
07154242+6704006 A13-29 108.927 67.067 148.75062 27.167882 11.09 10.29 10.12
08141720+3952398 A13-05 123.572 39.878 181.02881 32.270140 11.27 10.45 10.29
08182865+2435032 A13-31 124.619 24.584 198.55114 29.322847 11.17 10.34 10.16
07492437+3811176 A13-04 117.352 38.188 181.74952 27.191316 11.21 10.42 10.20
23554397+2901207 TriAnd4 358.933 29.022 108.51723 -32.285203 11.57 10.78 10.57
23484978+4549245 TriAnd7 357.207 45.823 111.67115 -15.674754 10.90 10.01 9.76
00523040+3933030 TriAnd13 13.127 39.551 123.15625 -23.320336 11.64 10.86 10.64
01462028+3604397 TriAnd10 26.585 36.078 135.19653 -25.483016 11.51 10.68 10.47
01540851+3820287 TriAnd2 28.535 38.341 136.23279 -22.905406 11.52 10.66 10.49
23174139+3113043 TriAnd0_1 349.422 31.218 100.37913 -27.515480 11.75 10.92 10.74
