2MASS_ID rv dist dist_err Teff Teff_err logg fe_h v_mic EBV
01552443+4106144 -106.2 13.73 2.6 3824 140 0.84 -0.63 1.8 0.06
02354004+3629079 -97.2 13.62 2.5 3785 140 0.81 -0.55 1.8 0.05
07012973+6526355 -55.7 9.30 1.8 3927 90 1.16 -0.52 1.7 0.04
07031762+6210186 -36.7 7.59 1.5 4029 117 1.26 -0.55 1.6 0.06
07154242+6704006 -15.6 8.91 1.7 3998 103 1.17 -0.70 1.7 0.04
08141720+3952398 31.7 9.63 1.9 3982 104 1.16 -0.62 1.7 0.04
08182865+2435032 77.3 9.29 1.9 3938 85 1.12 -0.46 1.7 0.03
07492437+3811176 -38.2 9.20 1.8 3930 140 1.16 -0.46 1.7 0.04
23554397+2901207 -154.1 13.54 2.7 3985 133 0.90 -0.63 1.7 0.05
23484978+4549245 -107.3 10.88 1.6 3628 175 0.89 -0.66 1.9 0.12
00523040+3933030 -139.1 13.84 2.6 3888 115 0.93 -0.44 1.8 0.05
01462028+3604397 -107.4 11.40 2.0 3852 117 1.11 -0.56 1.8 0.05
01540851+3820287 -79.0 12.03 2.1 3864 95 1.05 -0.60 1.8 0.05
23174139+3113043 -94.4 14.61 2.3 3909 140 1.02 -0.93 1.7 0.11
