2MASS_ID O_Fe Mg_Fe Na_Fe Ti_Fe Eu_Fe Ba_Fe O_Fe_err Mg_Fe_err Na_Fe_err Ti_Fe_err Eu_Fe_err Ba_Fe_err
01552443+4106144 0.20 0.17 0.11 0.10 0.13 0.19 0.21 0.14 0.13 0.23 0.12 0.18
02354004+3629079 0.17 0.18 0.04 0.00 0.10 0.13 0.21 0.14 0.13 0.23 0.12 0.18
07012973+6526355 0.26 0.19 0.08 0.13 0.18 0.24 0.21 0.14 0.13 0.23 0.12 0.18
07031762+6210186 0.28 0.21 0.10 0.08 nan nan 0.21 0.14 0.13 0.23 0.12 0.18
07154242+6704006 0.26 0.26 0.14 0.09 0.28 0.19 0.21 0.14 0.13 0.23 0.12 0.18
08141720+3952398 0.29 0.21 0.13 0.13 0.19 0.12 0.21 0.14 0.13 0.23 0.12 0.18
08182865+2435032 0.18 0.19 0.14 0.06 0.11 0.13 0.21 0.14 0.13 0.23 0.12 0.18
07492437+3811176 0.12 0.22 0.09 0.01 0.12 -0.01 0.21 0.14 0.13 0.23 0.12 0.18
23554397+2901207 0.31 nan 0.15 nan 0.10 -0.18 0.21 0.14 0.13 0.23 0.12 0.18
23484978+4549245 0.14 0.15 0.05 0.04 0.20 nan 0.21 0.14 0.13 0.23 0.12 0.18
00523040+3933030 0.13 0.21 0.08 -0.08 0.10 0.14 0.21 0.14 0.13 0.23 0.12 0.18
01462028+3604397 0.26 0.15 0.11 0.06 0.25 0.27 0.21 0.14 0.13 0.23 0.12 0.18
01540851+3820287 0.26 0.22 0.03 0.11 0.19 0.16 0.21 0.14 0.13 0.23 0.12 0.18
23174139+3113043 0.55 0.24 -0.30 0.33 0.68 0.31 0.21 0.14 0.13 0.23 0.12 0.18
