name,ra,dec,l,b,Ks0,J-Ks0,rv
A13-01,125.64624399497745,16.964172631844153,207.06,27.56,10.07,1.04,100.2
A13-02,130.2170774733798,17.002228075402112,208.9,31.63,10.53,0.99,-38.0
A13-03,126.3199943856476,31.110839284371977,191.74,32.61,10.35,0.98,-45.7
A13-04,117.35124387054879,38.187783848959505,181.75,27.19,10.2,1.01,-33.3
A13-05,123.57166109976065,39.877506003525205,181.03,32.27,10.3,0.98,37.7
A13-06,126.76832743655642,19.882783718951906,204.4,29.62,10.76,0.98,-98.2
A13-07,126.74166080848545,21.433061497326605,202.72,30.13,10.15,1.05,-27.7
A13-08,126.89957832003627,46.08917260488408,173.96,35.45,10.84,0.99,122.3
A13-09,118.81041075728817,45.172506061713285,174.24,29.72,10.55,0.99,14.2
A13-10,135.3337444665695,21.015283461462385,206.37,37.56,10.71,0.97,-33.9
A13-11,121.22166117186926,50.91528381523282,167.84,32.05,10.13,1.0,-48.5
A13-12,109.70165949127623,57.62472827857909,159.28,26.22,10.25,1.01,-64.5
A13-13,119.64666190656389,71.4436171656254,143.74,30.94,10.8,0.98,-54.5
A13-14,119.99082834758876,67.3541727178434,148.48,31.45,10.3,0.98,-84.3
A13-15,125.75707934864216,63.615561518463785,152.61,34.22,10.38,1.04,-62.3
A13-16,128.8304132628854,63.153617002239535,152.91,35.65,10.35,1.07,-80.5
A13-17,129.3199964778303,61.41083921145641,154.98,36.17,10.06,1.11,-16.3
A13-18,120.67874457433234,55.35472826607369,162.59,32.0,10.36,1.04,8.7
A13-19,112.26374314665242,63.53750607338077,152.86,28.23,10.6,1.0,-14.2
A13-20,105.37415817878953,65.44278377791223,150.33,25.53,10.2,1.03,-53.1
A13-21,105.8237418871388,62.17222822979722,153.93,25.13,10.01,0.98,-31.8
A13-22,122.0791611309993,46.115006026248324,173.55,32.12,10.11,1.05,9.3
A13-23,124.78749612776038,66.58528375978045,149.14,33.4,10.39,1.01,-86.6
A13-24,132.61292701730082,83.57389466843759,129.38,30.17,10.41,0.98,-161.6
A13-25,103.44290610416726,74.39500596397669,140.38,26.21,10.76,1.0,-74.0
A13-26,104.96415490642755,79.35611710413798,134.89,27.01,10.87,0.98,-171.8
A13-27,131.49374604230954,53.645839148543324,164.47,38.32,10.29,1.07,-54.3
A13-28,109.00332542685602,69.10250604961483,146.47,27.39,11.03,1.01,-45.2
A13-29,108.92707555865624,67.06639493771314,148.75,27.17,10.13,0.98,-19.7
A13-30,104.14082367755267,71.52611708893863,143.57,26.03,10.05,1.01,-220.1
A13-31,124.61957745729617,24.584450429580126,198.55,29.32,10.16,1.02,71.3
A13-32,113.72166020853372,47.01861718875973,171.42,26.61,10.98,0.98,-19.3
A13-33,141.53375488939346,76.23694986220396,136.06,35.11,11.03,1.01,-63.3
A13-34,136.55416561388517,66.80111674761908,147.46,37.85,11.28,0.98,-7.9
A13-35,137.92708361580935,70.0658389137143,143.41,37.08,10.62,0.99,-33.0
A13-36,117.49957768375643,66.44250607039892,149.6,30.52,10.34,1.09,-65.1
A13-37,133.96583073490623,61.79250573349698,153.95,38.26,11.01,1.02,-26.5
A13-38,124.39416151817102,49.47195043370511,169.73,33.98,10.18,0.97,8.3
A13-39,127.05541070474771,16.902783712444226,207.7,28.79,10.42,0.99,49.4
A13-40,128.42582833428895,43.10611701266241,177.74,36.3,10.6,1.0,15.1
A13-41,119.98541141968937,62.77389494011986,153.85,31.69,10.39,1.04,-82.4
A13-42,105.43874116705537,68.67389489011491,146.79,26.06,10.5,0.99,-49.7
A13-43,111.05124300518446,59.48667273350283,157.34,27.21,10.17,1.09,-7.0
A13-44,112.48165996027484,57.27056162982428,159.93,27.65,10.34,0.97,-11.8
A13-45,118.92374415993554,48.49833939414659,170.46,30.31,10.63,0.99,7.9
A13-46,132.30791428076245,65.02639467837547,150.24,36.73,10.14,0.99,-53.0
A13-47,132.40291591129113,71.63445023085325,142.44,34.82,10.13,1.03,-46.5
A13-48,132.42333159316325,68.04139467463416,146.62,35.95,10.2,1.03,-62.9
A13-49,118.36374451917425,65.46861717614065,150.73,30.9,10.03,0.99,-27.0
A13-50,133.6233320945,68.82861685656965,145.53,36.13,10.12,1.01,-135.9
A13-51,151.6125119203364,78.67500485190183,132.07,35.35,10.38,1.01,-168.4
A13-52,109.62540834639583,75.01722827788667,139.82,27.88,10.29,1.06,-58.5
A13-53,111.47040918154654,73.68111718051723,141.34,28.36,10.83,0.97,-58.1
A13-54,113.58915990763026,75.28972829964549,139.49,28.89,10.57,1.05,-113.1
