2MASS_ID,l,b,Ks0,J-Ks0,rv,rv_err,S/N,EW1,EW2,ra,dec
0008452+235019,110.52,-38.0,11.6,0.92,-177.5,5.3,29,0.4,0.4,2.1883244888631674,23.838608796251215
0010008+395243,114.36,-22.3,11.5,0.97,-128.0,5.1,27,0.5,0.8,2.5033222659507084,39.87860882718497
0014415+371817,114.88,-24.99,10.9,0.99,-138.4,2.8,25,1.4,1.4,3.6729059790689127,37.30472005374898
0015168+465156,116.53,-15.56,11.1,0.93,-160.9,3.4,36,1.0,1.2,3.8199875722526153,46.8655534016662
0017402+462638,116.89,-16.03,11.3,0.94,-165.9,5.5,30,1.3,1.3,4.417487637743291,46.44388679438925
0022430+422802,117.3,-20.09,12.0,0.9,-149.7,5.3,30,0.6,0.8,5.679155041977618,42.467220253868945
0028312+401724,118.2,-22.37,11.3,0.94,-132.0,8.2,27,0.6,0.8,7.1299887229036605,40.28999817788261
0034442+460719,119.91,-16.65,10.9,0.99,-141.8,5.1,23,0.9,1.0,8.684154225932822,46.12194278027187
0040357+384313,120.62,-24.1,10.8,1.0,-153.0,2.2,31,0.9,1.0,10.148738919336662,38.7202762635687
0047532+401734,122.2,-22.57,10.0,1.11,-132.0,1.9,28,1.1,1.2,11.971655276239137,40.29277645159384
0048394+422949,122.39,-20.37,10.6,1.01,-146.7,3.0,36,1.0,1.0,12.164154866517386,42.49694313819763
0051100+463939,122.88,-16.21,11.0,1.04,-178.5,3.7,34,0.6,0.8,12.791653999941268,46.66083209217756
0052304+393303,123.15,-23.32,10.7,1.02,-136.9,5.6,21,0.9,1.1,13.12665538576299,39.55083212698891
0053235+395559,123.34,-22.94,11.0,0.96,-134.1,2.6,26,1.2,1.4,13.34790531468349,39.93305437222483
0055509+411360,123.82,-21.63,12.2,0.9,-114.7,3.9,23,1.7,1.3,13.962071735918846,41.23333221397766
0058360+450047,124.26,-17.84,11.8,0.88,-71.2,3.1,20,0.7,0.7,14.649987648786723,45.01305450800946
0059164+385602,124.6,-23.91,11.7,0.93,-119.9,1.9,22,0.5,-0.7,14.818322132705845,38.933887858938085
0104295+451314,125.34,-17.59,11.8,0.87,-114.8,3.9,26,0.6,0.6,16.122904246767327,45.22055466225751
0106121+414018,125.89,-21.12,9.8,1.1,-187.2,2.7,26,1.2,1.3,16.550404948320196,41.67166581825274
0108205+381304,126.58,-24.53,10.9,1.02,-117.0,1.9,19,1.5,1.5,17.085405560155962,38.21777698560083
0109330+392120,126.75,-23.38,10.2,1.08,-128.2,2.0,28,0.7,0.3,17.38748869315088,39.355554795163165
0112312+202928,129.59,-42.1,11.8,0.88,-29.3,5.1,17,2.8,0.2,18.12999138172369,20.491110428931115
0118006+301415,127.05,-24.32,10.8,0.97,-99.8,5.3,28,1.1,1.3,19.50249010976367,30.23749946268591
0118151+414947,128.27,-20.76,11.7,0.93,-132.2,4.1,23,0.8,0.8,19.56290488602644,41.82972169129267
0118518+422120,128.33,-20.23,9.9,1.09,-168.7,4.9,26,0.7,1.0,19.715821450501128,42.355555040788275
0120563+410332,128.9,-21.47,10.8,1.0,-152.1,4.7,27,1.0,1.4,20.2345716926185,41.05888842897674
0123174+335858,130.44,-28.42,11.4,0.94,-111.9,3.3,26,0.6,1.1,20.822489550446562,33.98277738008018
0131068+454442,130.13,-16.57,10.6,1.02,-148.9,5.0,10,0.6,0.8,22.778320736803664,45.7449998095371
0135157+392625,132.08,-22.65,10.9,0.94,-134.0,3.4,32,1.1,1.2,23.815405306044287,39.440277697306875
0135572+445814,131.15,-17.19,10.6,1.04,-115.6,3.7,25,0.9,1.0,23.988320900462313,44.9705554934275
0138005+310604,134.53,-30.72,11.8,0.93,-138.6,5.5,20,1.5,1.7,24.50207330538651,31.10111110348415
0143280+395547,133.65,-21.86,11.3,0.95,-95.5,2.1,30,0.8,0.8,25.86665521922505,39.92972235934771
0145338+284751,137.02,-32.59,10.9,0.96,-91.5,1.7,30,0.5,0.8,26.39082363266185,28.797500192712036
0146203+360440,135.19,-25.48,10.5,1.03,-102.8,10.0,17,1.1,1.1,26.58457254617074,36.077777991032576
0146291+371501,134.93,-24.34,10.9,0.96,-102.0,2.9,28,0.8,1.0,26.62123901972978,37.250277994919976
0146402+440851,133.28,-17.61,11.9,0.86,-109.3,5.1,18,0.5,0.7,26.66748774274474,44.14750022204544
0154085+382029,136.23,-22.91,10.5,1.01,-63.3,1.6,22,0.3,0.4,28.535405509539395,38.34138930881021
0154522+361326,137.0,-24.91,10.4,1.02,-75.3,1.8,29,0.8,0.8,28.717489197975294,36.22388932807854
0155244+410614,135.71,-20.18,10.4,1.03,-99.9,1.5,30,0.9,1.3,28.851655017144658,41.103889342273376
0155575+392150,136.31,-21.83,11.3,0.95,-126.7,3.4,33,1.1,1.2,28.989572000645644,39.36388935686243
0158234+461103,134.85,-15.13,10.9,0.97,-82.2,3.4,31,1.0,1.0,29.597487328312685,46.18416719891304
0159430+344015,138.53,-26.12,10.4,1.07,-127.2,2.3,28,0.9,0.9,29.929156119652916,34.670833900621
0204068+305222,140.83,-29.46,10.5,1.02,-89.5,1.2,24,1.4,1.4,31.028323361375655,30.872778461051986
0205311+443659,136.56,-16.29,11.1,0.99,-101.5,3.7,30,1.3,1.3,31.379571017011532,44.61638960917669
0208047+433706,137.33,-17.1,11.1,0.97,-122.0,3.3,18,1.2,1.4,32.01957122904157,43.618334120991896
0208241+343703,140.44,-25.62,10.0,1.11,-90.7,1.8,31,1.1,1.3,32.100406145811505,34.6175007961609
0210532+354315,140.57,-24.42,10.3,1.07,-95.8,2.2,32,1.1,1.2,32.72165597860773,35.7208341947847
0215010+391644,140.11,-20.79,9.5,1.13,-89.2,2.2,27,1.3,1.3,33.75415539792108,39.27888985862339
0230089+293925,147.32,-28.5,11.2,0.96,-87.1,3.6,27,1.2,1.3,37.537073599463525,29.656945807955307
0232082+311429,147.0,-26.88,10.4,1.03,-60.8,3.9,24,1.4,1.4,38.034156719668815,31.241390303737777
0232283+430640,141.84,-16.02,11.9,0.93,-130.6,3.5,30,0.8,0.9,38.117904773592706,43.111112534599094
0235400+362908,145.29,-21.82,10.3,1.04,-100.1,4.3,22,1.4,1.6,38.91665595031885,36.485557061282904
0240181+375140,145.56,-20.18,10.7,1.0,-98.8,4.0,21,1.4,1.4,40.07540575221963,37.86111273561891
0242433+283308,150.67,-28.26,10.5,1.07,-65.7,1.8,28,1.0,1.3,40.68040712794295,28.552223908486116
0243131+332942,148.22,-23.83,9.5,1.14,-61.5,1.9,25,0.5,0.7,40.804573110146066,33.495001698915274
0248112+360447,147.92,-21.06,10.0,1.09,-54.1,1.9,27,0.7,0.9,42.046656080819155,36.07972404724522
0248197+380710,146.94,-19.24,11.6,0.93,-75.2,3.7,38,0.9,0.9,42.082072423820236,38.11944627305096
0252502+312423,151.27,-24.7,10.1,1.08,-54.9,3.7,25,0.7,0.8,43.20915678896898,31.406390831163794
0253000+375204,147.92,-19.03,11.4,0.99,-112.3,3.8,23,0.9,1.2,43.24998916140159,37.86777972415691
0254132+395433,147.12,-17.13,11.5,0.92,-81.0,3.8,42,0.7,0.8,43.55498883140184,39.90916864367075
