#APOID GROUP SOURCE
2M00403568+3843125 TriAnd1 s14
2M00475315+4017342 TriAnd1 s14
2M00523040+3933030 TriAnd1 s14
2M00532347+3955586 TriAnd1 s14
2M00555094+4113598 TriAnd2 s14
2M00591640+3856025 TriAnd2 s14
2M01462912+3715010 TriAnd1 s14
2M01540851+3820287 TriAnd1 s14
2M01545216+3613256 TriAnd1 s14
2M02133023+4131328 TriAnd rp04
2M02401807+3751396 TriAnd1 s14
2M02481116+3604468 TriAnd1 s14
2M02481967+3807094 TriAnd1 s14
2M02530003+3752037 TriAnd2 s14
2M02541317+3954334 TriAnd1 s14
2M03001400+2636564 TriAnd1 s14
2M03054742+2710104 TriAnd1 s14
2M03071887+2634232 TriAnd1 s14
2M03195027+2646525 TriAnd1 s14
2M06111908-0537436 GASS c03
2M06343998+2323279 GASS c03
2M07160063+6906099 A13 l17
2M07184844+5737306 A13 l17
2M07241239+5929115 A13 l17
2M07255302+7340530 A13 l17
2M07295559+5716131 A13 l17
2M07314622+5936180 GASS c03
2M07320809+5928403 GASS c03
2M07342114+7517229 A13 l17
2M07345334+4701074 A13 l17
2M07393711+3315325 GASS c03
2M07413159+3253524 GASS c03
2M07532741+6528074 A13 l17
2M07551460+4510213 A13 l17
2M07554176+4829540 A13 l17
2M08053390+2025360 GASS c03
2M08081884+4606547 A13 l17
2M08141720+3952398 A13 l17
2M08173472+4928187 A13 l17
2M08230178+6336565 A13 l17
2M08260387+2247209 GASS c03
2M08270435+1952583 A13 l17
2M08281327+1654112 A13 l17
2M08334215+4306237 A13 l17
2M08351921+6309114 A13 l17
2M08363592+4238216 GASS c03
2M08455836+5338439 A13 l17
2M08493662+7138049 A13 l17
2M08494170+6802293 A13 l17
2M08542968+6849442 A13 l17
2M09114247+7003568 A13 l17
2M23112950+4157143 TriAnd2 s14
2M23142620+4125311 TriAnd2 s14
2M23413614+3143111 TriAnd rp04
